Maze,A*,,,,RRT,,,D* Lite,,,
,Graph Creation Time (s),Algorithm time (s),PathCompletionTime (s),Steps,Graph Creation Time (s),PathCompletionTime (s),Steps,Graph Creation Time (s),Algorithm time (s),PathCompletionTime (s),Steps
maze_1,140.0499919,0.003032825,85.41254735,91.75,149.230594,77.3071248,29.5,139.8409358,0.656759325,91.39236028,91.75
maze_5,130.984237,0.007403275,76.12064325,79.25,69.84952605,59.15830545,21.25,136.7865777,0.567675725,79.99780525,79.25
maze_10,133.0315689,0.0028792,74.42639398,78.75,66.43104918,62.49085203,21.5,132.6513778,0.65996555,77.92051178,78.75
