Maze,A*,,,,RRT,,,D* Lite,,,
,Graph Creation Time (s),Algorithm time (s),PathCompletionTime (s),Steps,Graph Creation Time (s),PathCompletionTime (s),Steps,Graph Creation Time (s),Algorithm time (s),PathCompletionTime (s),Steps
maze_3,31.207459,0.001999567,52.0984412,52,5.4185435,36.8221918,9.666666667,31.251119,0.179143033,45.9716781,52
maze_5,38.7160767,0.0019989,55.3212699,58.66666667,16.67313227,38.6460409,14,39.97040397,0.143576133,54.9088909,58.66666667
maze_8,45.47531757,0.001002467,71.77338687,74.66666667,106.4487566,61.92995137,24.66666667,45.91808103,0.093192833,72.512149,74.66666667
maze_10,423.3555439,0.0127528,135.4196815,147.6666667,252.1411265,127.876859,48,428.5655844,2.096622133,159.0215184,147.6666667
